file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfArmy.java,com.iluwatar.abstractfactory.ElfArmy,getDescription/0,false,34,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfCastle.java,com.iluwatar.abstractfactory.ElfCastle,getDescription/0,false,34,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfKing.java,com.iluwatar.abstractfactory.ElfKing,getDescription/0,false,34,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfKingdomFactory.java,com.iluwatar.abstractfactory.ElfKingdomFactory,createArmy/0,false,42,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfKingdomFactory.java,com.iluwatar.abstractfactory.ElfKingdomFactory,createCastle/0,false,32,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfKingdomFactory.java,com.iluwatar.abstractfactory.ElfKingdomFactory,createKing/0,false,37,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\King.java,com.iluwatar.abstractfactory.King,getDescription/0,false,31,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\Kingdom.java,com.iluwatar.abstractfactory.Kingdom$FactoryMaker,makeFactory/1[com.iluwatar.abstractfactory.Kingdom.FactoryMaker.KingdomType],false,52,4,3,0,10,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17,9,0,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\KingdomFactory.java,com.iluwatar.abstractfactory.KingdomFactory,createKing/0,false,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\KingdomFactory.java,com.iluwatar.abstractfactory.KingdomFactory,createArmy/0,false,35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\KingdomFactory.java,com.iluwatar.abstractfactory.KingdomFactory,createCastle/0,false,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcArmy.java,com.iluwatar.abstractfactory.OrcArmy,getDescription/0,false,34,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcCastle.java,com.iluwatar.abstractfactory.OrcCastle,getDescription/0,false,34,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcKing.java,com.iluwatar.abstractfactory.OrcKing,getDescription/0,false,34,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcKingdomFactory.java,com.iluwatar.abstractfactory.OrcKingdomFactory,createArmy/0,false,42,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcKingdomFactory.java,com.iluwatar.abstractfactory.OrcKingdomFactory,createCastle/0,false,32,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcKingdomFactory.java,com.iluwatar.abstractfactory.OrcKingdomFactory,createKing/0,false,37,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AbstractFactoryTest.java,com.iluwatar.abstractfactory.AbstractFactoryTest,verifyElfKingdomCreation/0,false,84,6,1,8,13,0,4,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AbstractFactoryTest.java,com.iluwatar.abstractfactory.AbstractFactoryTest,verifyOrcKingdomCreation/0,false,100,6,1,8,13,0,4,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AbstractFactoryTest.java,com.iluwatar.abstractfactory.AbstractFactoryTest,verifyArmyCreation/0,false,69,5,1,6,11,0,3,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AbstractFactoryTest.java,com.iluwatar.abstractfactory.AbstractFactoryTest,verifyCastleCreation/0,false,54,5,1,6,11,0,3,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AbstractFactoryTest.java,com.iluwatar.abstractfactory.AbstractFactoryTest,verifyKingCreation/0,false,39,5,1,6,11,0,3,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AppTest.java,com.iluwatar.abstractfactory.AppTest,shouldExecuteApplicationWithoutException/0,false,36,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\ActiveCreature.java,com.iluwatar.activeobject.ActiveCreature,eat/0,false,77,1,1,3,7,0,0,0,3,1,1,0,0,0,0,2,0,0,0,1,0,0,1,13,1,2,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\ActiveCreature.java,com.iluwatar.activeobject.ActiveCreature,name/0,false,98,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
