file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcArmy.java,com.iluwatar.abstractfactory.OrcArmy,class,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,18,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcCastle.java,com.iluwatar.abstractfactory.OrcCastle,class,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,18,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcKing.java,com.iluwatar.abstractfactory.OrcKing,class,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,18,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\OrcKingdomFactory.java,com.iluwatar.abstractfactory.OrcKingdomFactory,class,7,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AbstractFactoryTest.java,com.iluwatar.abstractfactory.AbstractFactoryTest,class,9,5,1,8,0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,1,0,0,1,0,0,1,0,0,62,0,0,0,0,0,0,0,18,0,18,0,0,0,0,24,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\test\java\com\iluwatar\abstractfactory\AppTest.java,com.iluwatar.abstractfactory.AppTest,class,2,1,1,2,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\ActiveCreature.java,com.iluwatar.activeobject.ActiveCreature,class,2,9,1,12,0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,5,1,0,5,0,0,1,0,1,49,2,1,1,1,0,4,2,8,0,6,4,0,0,3,47,1025,4
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\App.java,com.iluwatar.activeobject.App,class,4,5,1,14,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,2,28,0,2,0,1,0,0,5,6,1,6,2,0,0,0,77,1,1
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\Orc.java,com.iluwatar.activeobject.Orc,class,1,1,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\test\java\com\iluwatar\activeobject\ActiveCreatureTest.java,com.iluwatar.activeobject.ActiveCreatureTest,class,3,1,1,6,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,2,1,0,1,0,0,0,0,10,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\test\java\com\iluwatar\activeobject\AppTest.java,com.iluwatar.activeobject.AppTest,class,2,1,1,2,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\AllModemVisitor.java,com.iluwatar.acyclicvisitor.AllModemVisitor,interface,2,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\App.java,com.iluwatar.acyclicvisitor.App,class,4,1,1,2,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,62,1,0
